idx,Accuracy,Precision,Recall,FPR,FNR
0.0,0.972,0.8235294117647058,0.56,0.0063157894736842,0.44
1.0,0.992,0.92,0.92,0.0042105263157894,0.08
2.0,1.0,1.0,1.0,0.0,0.0
3.0,0.994,0.8928571428571429,1.0,0.0063157894736842,0.0
4.0,0.994,0.8928571428571429,1.0,0.0063157894736842,0.0
