idx,Accuracy,Precision,Recall,FPR,FNR
0,0.98054,0.9107009997656276,0.6795999999999998,0.0036210526315789,0.3203999999999999
1,0.99342,0.9344787840394768,0.9368000000000002,0.0035999999999999,0.0632
2,0.99676,0.9415685669375324,0.9992,0.0033684210526315,0.0008
3,0.99636,0.9349560509449968,1.0,0.0038315789473683,0.0
4,0.9966399999999994,0.9394962589011528,1.0,0.0035368421052631,0.0
